ABV
45.0%
52.3%
52.0%
4.0%
4.3%
17.0%
14.0%
62.8%
12.0%
49.7%
16.0%
8.8%
4.2%
4.0%
6.0%
6.0%
17.0%
13.5%
12.5%
NAS
12.5%
40.0%
5.0%
6.0%
53.7%
46.9%
NAS
NAS
56.9%
13.5%
12.0%
12.0%
NAS
NAS
NAS
19.5%
40.0%
40.0%
40.0%
68.3%
NAS
43.1%
15.0%
15.0%
14.5%
19.5%
12.0%
60.4%
40.0%
40.0%
40.0%
59.4%
58.8%
58.7%
62.5%
60.5%
58.6%
58.4%
57.7%
56.4%
57.8%
56.7%
57.7%
58.6%
5.7%
49.7%
14.0%
NAS
50.0%
4.8%
12.0%
13.5%
46.0%
46.0%
12.0%
NAS
50.5%
58.1%
43.0%
60.3%
6.0%
4.3%
55.0%
2.2%
2.5%
40.0%
42.1%
NAS
62.4%
62.2%
43.0%
14.5%
50.4%
46.0%
46.0%
53.0%
46.0%
6.0%
4.5%
4.0%
6.0%
4.0%
3.0%
20.0%
11.0%
46.3%
42.6%
15.0%
14.5%
NAS
42.6%
13.5%
NAS
47.3%
12.0%
64.6%
59.2%
40.0%
41.0%
40.0%
60.0%
43.0%
45.0%
6.0%
6.0%
67.1%
7.0%
5.2%
12.0%
12.5%
13.5%
4.5%
42.0%
43.0%
40.0%
15.0%
12.0%
4.2%
53.9%
12.5%
13.5%
49.4%
54.2%
56.5%
11.0%
12.5%
52.1%
NAS
55.5%
11.0%
55.5%
64.9%
61.1%
NAS
49.0%
7.2%
5.5%
14.2%
40.0%
41.6%
20.0%
15.1%
5.0%
21.0%
58.8%
48.0%
43.5%
23.0%
52.6%
28.0%
52.7%
NAS
NAS
11.5%
20.0%
14.5%
20.0%
19.0%
58.4%
52.0%
NAS
50.0%
50.0%
45.0%
52.0%
12.5%
7.5%
45.0%
53.0%
45.0%
45.0%
56.0%
42.0%
52.0%
40.0%
53.0%
53.0%
NAS
NAS
NAS
49.1%
56.5%
20.0%
52.0%
57.0%
60.5%
34.0%
2.5%
40.0%
40.0%
12.0%
NAS
45.0%
70.1%
12.0%
12.0%
63.3%
64.0%
13.9%
40.0%
14.5%
14.2%
38.0%
58.0%
58.0%
58.0%
4.0%
8.0%
60.4%
43.0%
12.0%
13.0%
48.0%
NAS
58.5%
14.0%
15.0%
41.0%
41.0%
0.0%
NAS
40.0%
53.5%
45.0%
29.0%
47.0%
41.3%
51.9%
6.5%
51.4%
43.0%
14.0%
16.0%
13.5%
13.6%
41.2%
14.0%
12.0%
4.6%
20.0%
19.0%
19.5%
13.5%
45.0%
40.0%
40.0%
55.0%
NAS
49.2%
53.8%
53.8%
NAS
NAS
55.5%
40.0%
55.5%
5.0%
NAS
5.6%
6.7%
8.0%
6.2%
14.2%
40.0%
57.7%
14.5%
14.0%
5.0%
5.0%
40.0%
59.1%
62.7%
59.1%
50.0%
13.0%
0.0%
16.5%
20.2%
21.0%
25.0%
40.0%
44.0%
15.0%
15.0%
63.9%
NAS
12.0%
46.5%
14.5%
0.0%
19.0%
19.0%
46.0%
46.5%
50.5%
50.0%
6.0%
6.0%
32.0%
48.0%
NAS
52.0%
40.0%
45.0%
53.0%
40.0%
40.0%
65.3%
45.0%
40.0%
26.0%
47.0%
48.8%
46.4%
13.5%
6.0%
6.0%
12.0%
59.0%
42.7%
54.3%
40.0%
50.6%
63.3%
63.3%
61.2%
62.7%
13.5%
40.0%
58.0%
58.0%
53.0%
58.0%
5.0%
12.0%
11.0%
14.5%
38.2%
14.5%
52.5%
47.0%
NAS
58.0%
NAS
40.0%
40.0%
14.0%
NAS
6.0%
6.0%
6.0%
58.0%
43.0%
45.0%
14.5%
14.0%
57.0%
14.0%
16.0%
12.0%
45.0%
14.5%
14.0%
5.1%
14.5%
19.0%
20.0%
14.0%
14.5%
13.9%
14.5%
12.0%
55.5%
55.5%
50.0%
14.5%
50.5%
12.0%
NAS
NAS
6.8%
9.0%
5.0%
14.4%
40.0%
14.6%
12.5%
14.5%
4.7%
6.0%
40.0%
12.0%
47.3%
43.1%
41.3%
40.0%
NAS
12.5%
13.5%
14.9%
33.0%
NAS
40.0%
53.0%
45.0%
48.6%
47.2%
20.0%
20.0%
46.4%
46.5%
62.7%
53.8%
52.0%
52.0%
52.0%
13.5%
NAS
53.0%
52.0%
52.0%
NAS
53.0%
14.0%
52.0%
53.0%
53.0%
15.0%
NAS
50.7%
NAS
60.2%
NAS
48.1%
42.7%
40.0%
9.0%
18.0%
4.2%
55.0%
0.3%
40.0%
40.0%
40.0%
40.0%
42.5%
40.0%
40.0%
42.3%
62.8%
63.9%
62.2%
40.0%
5.0%
45.4%
62.8%
54.1%
58.0%
14.5%
3.0%
3.0%
4.0%
3.0%
13.5%
12.0%
NAS
54.0%
NAS
62.0%
NAS
40.0%
45.0%
41.0%
NAS
50.0%
40.0%
56.0%
40.0%
46.0%
40.0%
14.5%
48.0%
NAS
46.0%
43.0%
45.0%
6.0%
6.0%
6.0%
43.0%
52.0%
12.5%
5.0%
45.0%
4.5%
NAS
13.9%
62.0%
12.0%
20.0%
19.0%
40.0%
40.0%
40.0%
57.3%
13.0%
8.0%
5.0%
55.5%
50.5%
55.5%
43.0%
NAS
NAS
6.5%
29.0%
47.0%
14.5%
14.0%
6.0%
5.5%
41.3%
47.3%
56.2%
14.5%
NAS
15.0%
NAS
NAS
46.0%
13.5%
49.0%
15.0%
24.0%
22.0%
51.7%
NAS
49.3%
11.0%
19.0%
46.5%
46.5%
43.2%
52.0%
50.0%
6.0%
19.9%
NAS
14.0%
NAS
53.0%
52.0%
53.0%
23.0%
15.0%
53.0%
40.0%
53.0%
42.0%
53.0%
38.0%
5.3%
5.0%
5.0%
4.3%
4.5%
6.0%
6.0%
17.0%
50.5%
NAS
45.0%
12.0%
6.5%
6.0%
11.0%
18.0%
NAS
NAS
NAS
16.0%
NAS
NAS
NAS
NAS
NAS
7.0%
15.8%
15.0%
11.0%
7.0%
16.0%
15.0%
14.0%
16.0%
14.0%
17.0%
15.0%
15.5%
15.5%
17.0%
17.0%
15.5%
15.5%
15.5%
16.0%
15.0%
NAS
30.0%
25.0%
25.0%
25.0%
32.0%
25.0%
35.0%
25.0%
38.0%
40.0%
43.0%
42.0%
25.0%
NAS
42.0%
43.0%
45.0%
43.0%
53.0%
38.0%
38.0%
5.3%
5.5%
6.0%
5.0%
3.0%
3.0%
15.2%
7.0%
40.0%
4.6%
40.0%
40.0%
42.0%
42.0%
6.0%
6.0%
30.0%
14.0%
45.0%
14.0%
5.0%
8.0%
6.0%
6.0%
20.0%
NAS
6.0%
15.5%
13.0%
15.0%
16.0%
NAS
17.0%
14.0%
7.0%
15.0%
15.0%
15.0%
15.0%
11.0%
16.0%
8.0%
16.0%
15.0%
15.0%
15.0%
NAS
17.0%
NAS
15.0%
15.5%
NAS
NAS
25.0%
44.0%
NAS
NAS
25.0%
25.0%
25.0%
25.0%
25.0%
25.0%
44.0%
NAS
25.0%
30.0%
25.0%
NAS
NAS
13.5%
13.5%
22.0%
38.0%
16.5%
13.0%
13.0%
NAS
NAS
24.0%
17.0%
35.0%
40.0%
16.5%
16.0%
12.0%
16.8%
14.0%
10.1%
40.0%
40.0%
43.0%
14.0%
15.0%
15.0%
22.0%
12.0%
25.0%
35.0%
25.0%
20.0%
25.0%
25.0%
40.0%
30.0%
NAS
43.0%
NAS
NAS
25.0%
44.0%
NAS
41.0%
NAS
40.0%
25.0%
NAS
25.0%
25.0%
NAS
25.0%
40.0%
25.0%
25.0%
25.0%
NAS
45.0%
NAS
13.5%
50.0%
16.9%
13.5%
17.0%
13.0%
NAS
NAS
25.0%
17.2%
16.5%
NAS
NAS
NAS
24.0%
20.0%
NAS
12.0%
10.1%
10.1%
10.1%
NAS
40.0%
12.0%
40.0%
13.0%
14.5%
12.5%
20.0%
64.5%
52.0%
52.0%
62.0%
48.0%
55.0%
45.0%
6.0%
6.0%
5.9%
4.2%
40.0%
5.4%
46.0%
4.1%
47.0%
17.0%
5.0%
6.0%
3.0%
3.0%
4.5%
7.5%
NAS
6.0%
19.0%
NAS
6.0%
14.0%
7.0%
NAS
NAS
15.0%
16.0%
16.0%
14.0%
NAS
NAS
6.0%
15.8%
15.0%
NAS
17.0%
15.0%
15.0%
15.0%
16.0%
16.5%
7.0%
18.5%
15.0%
15.0%
12.0%
NAS
13.0%
NAS
16.0%
NAS
15.5%
16.0%
NAS
NAS
25.0%
37.0%
NAS
52.0%
52.0%
40.8%
42.0%
8.5%
NAS
NAS
5.1%
5.3%
NAS
6.0%
6.5%
40.0%
6.0%
NAS
5.0%
12.0%
NAS
NAS
NAS
7.0%
15.0%
15.0%
15.0%
NAS
15.0%
14.0%
15.0%
NAS
15.0%
15.0%
15.0%
NAS
30.0%
43.0%
25.0%
25.0%
25.0%
NAS
30.0%
25.0%
25.0%
25.0%
NAS
25.0%
43.0%
44.0%
25.0%
NAS
44.0%
30.0%
30.0%
25.0%
NAS
25.0%
40.0%
22.0%
13.5%
13.5%
NAS
13.5%
13.5%
41.0%
13.0%
25.0%
NAS
25.0%
30.0%
NAS
NAS
30.0%
24.0%
25.0%
25.0%
25.0%
25.0%
25.0%
25.0%
36.0%
25.0%
25.0%
25.0%
30.0%
NAS
54.0%
13.5%
53.0%
41.0%
25.0%
12.0%
31.0%
30.0%
16.5%
16.0%
17.0%
12.0%
NAS
NAS
16.5%
NAS
12.0%
NAS
40.0%
12.0%
14.0%
12.5%
14.5%
13.0%
20.0%
20.0%
21.0%
16.5%
NAS
20.0%
NAS
23.0%
40.0%
12.0%
NAS
12.0%
37.5%
13.7%
14.0%
14.5%
15.0%
20.0%
14.5%
15.0%
14.5%
20.0%
