listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo,,,,,,,,,,,,,,,
Grenada Westerhall 1993 'Edward Low' Golden Age of Piracy,ObjectId('65b33f65e8fb649accedb5b0'),Distilia,Grenada,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),29,0.65,https://88bamboo.co/blogs/rum-reviews/three-pirates-walk-into-a-bar-distilia-tdl-1991-black-bart-diamond-1996-captain-benjamin-hornigold-grenada-westerhall-1993-edward-low-golden-age-of-piracy,,,,,,,,,,,,,,,,,,
Teeda 5 Year Old,ObjectId('65b33f65e8fb649accedb5b2'),OB,Japan,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),5,0.40,https://88bamboo.co/blogs/rum-reviews/teeda-5-years-old,,,,,,,,,,,,,,,,,,
Beenleigh 2014 MVKrait Operation Jaywick,ObjectId('65b33f65e8fb649accedb5b3'),Dead Reckoning,Australia,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),9,0.55,,,,,,,,,,,,,,,,,,,
Port Mourant 1974 Full Proof Old Demerara Rum,ObjectId('65b33f65e8fb649accedb5a1'),Velier,Guyana,Rum / Rhum,Molasses - Traditional Rum (Column Still),34,0.55,,,,,,,,,,,,,,,,,,,
Eminente Millesime 2012 100% Aguardiente Bottled for Excellence Rhum & La Conferie du Rhum 10th Anniversary,ObjectId('65b33f65e8fb649accedb5b4'),OB,Cuba,Rum / Rhum,Juice - Clairin / Cachaca / Aguardiente,10,0.56,,,,,,,,,,,,,,,,,,,
Pere Labat Distillerie Poison 2010 Velier 70th Anniversary,ObjectId('65b33f65e8fb649accedb5b9'),Velier,Guadeloupe,Rum / Rhum,Juice - Rhum Agricole (Column Still),7,0.58,https://88bamboo.co/blogs/rum-reviews/poisson-pere-labat-2010-velier-rhum-vieux-70th-anniversary-57-5-abv,,,,,,,,,,,,,,,,,,
24 Year Old Trinidad Rum Caroni 1998 for Lion's Whisky 10th Anniversary Edition,ObjectId('65b33f65e8fb649accedb5ae'),Distilia,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),24,0.62,https://88bamboo.co/blogs/rum-reviews/distilia-1998-caroni-trinidad-lions-whisky-10th-anniversary-edition-24-year-old-61-6-abv,,,,,,,,,,,,,,,,,,
Caroni HTR 20 Year Old Batch 12,ObjectId('65b33f65e8fb649accedb5ae'),That Boutique-y Rum Company,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,0.63,,,,,,,,,,,,,,,,,,,
Caroni 1997 22 Year Old ,ObjectId('65b33f65e8fb649accedb5ae'),Master of Malt,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),22,0.62,,,,,,,,,,,,,,,,,,,
"Enmore 1994 REV, 'Victoria Amazonica' Floral Rum Series for Catawiki",ObjectId('65b33f65e8fb649accedb5a1'),Distilia,Guyana,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),28,0.52,https://88bamboo.co/blogs/rum-reviews/enmore-rev-1994-victoria-amazonica-distilia-for-catawiki-28-year-old-51-8-abv,,,,,,,,,,,,,,,,,,
Foursquare Raconteur 2006,ObjectId('65b33f65e8fb649accedb5b5'),Velier,Barbados,Rum / Rhum,Molasses - Single Blended Rum (Pot & Column Still),17,0.61,https://88bamboo.co/blogs/rum-reviews/foursquare-raconteur-2006-17-year-old-61-abv,,,,,,,,,,,,,,,,,,
Flor de Cana 12 Year Old,ObjectId('65b33f65e8fb649accedb5bb'),OB,Nicaragua,Rum / Rhum,Molasses - Traditional Rum (Column Still),12,0.40,,,,,,,,,,,,,,,,,,,
Appleton Estate Joy Anniversary Blend 25 Year Old,ObjectId('65b33f65e8fb649accedb5bc'),OB,Jamaica,Rum / Rhum,Molasses - Pure Single Rum (Pot Still),25,0.45,,,,,,,,,,,,,,,,,,,
